pax_id,origin,destination,treq,tdep,ttrav,tarr,tdrop,shareable,schedule_id,dist,origin_x,origin_y,destination_x,destination_y
0,1679761158,2612573901,2023-09-19 09:00:04,,0 days 00:04:22,2023-09-19 09:04:26,,False,,2623,4.345319,51.9946395,4.3651607,52.0096535
1,44824666,44764023,2023-09-19 09:00:09,,0 days 00:05:54,2023-09-19 09:06:03,,False,,3545,4.3765065,52.0060307,4.3596834,51.9923397
2,4053473202,1385072823,2023-09-19 09:00:11,,0 days 00:04:01,2023-09-19 09:04:12,,False,,2416,4.356863,52.0035673,4.3644397,51.9882584
3,44862225,44759522,2023-09-19 09:00:18,,0 days 00:06:38,2023-09-19 09:06:56,,False,,3983,4.3686495,52.014463,4.3603635,51.9913873
4,1679761151,44839603,2023-09-19 09:00:26,,0 days 00:03:32,2023-09-19 09:03:58,,False,,2125,4.3431116,51.9941687,4.3464906,52.0090658
5,2381851915,44841824,2023-09-19 09:00:30,,0 days 00:06:26,2023-09-19 09:06:56,,False,,3866,4.3285923,52.010084,4.3712324,52.0095623
6,260123525,503608243,2023-09-19 09:00:31,,0 days 00:04:24,2023-09-19 09:04:55,,False,,2645,4.3530275,52.0006737,4.3817543,52.0061463
7,3377087989,44858428,2023-09-19 09:00:32,,0 days 00:04:22,2023-09-19 09:04:54,,False,,2624,4.3530767,52.0094521,4.3661269,52.0133694
8,1679761094,1565881923,2023-09-19 09:01:09,,0 days 00:05:43,2023-09-19 09:06:52,,False,,3437,4.345899,51.9906525,4.3570331,51.9823691
9,1833104248,2175715314,2023-09-19 09:01:18,,0 days 00:04:46,2023-09-19 09:06:04,,False,,2860,4.3411872,51.9928222,4.356104,52.0091468
10,4246176888,1668136773,2023-09-19 09:01:19,,0 days 00:06:46,2023-09-19 09:08:05,,False,,4065,4.3517338,52.0135242,4.3478908,51.9872523
11,1552650415,44734726,2023-09-19 09:01:28,,0 days 00:06:10,2023-09-19 09:07:38,,False,,3703,4.3379508,51.9994285,4.3641424,51.9859244
12,1830058806,618763989,2023-09-19 09:01:28,,0 days 00:05:09,2023-09-19 09:06:37,,False,,3096,4.341082,51.9834591,4.3550532,52.0013032
13,643586468,1569975209,2023-09-19 09:01:29,,0 days 00:03:27,2023-09-19 09:04:56,,False,,2077,4.3442356,52.0000377,4.3614355,51.9927661
14,1448391085,3377240325,2023-09-19 09:01:29,,0 days 00:05:49,2023-09-19 09:07:18,,False,,3490,4.3268283,52.0119179,4.3507402,52.0001748
15,643586567,1608998178,2023-09-19 09:01:31,,0 days 00:03:29,2023-09-19 09:05:00,,False,,2092,4.3437738,51.9997805,4.3362833,51.9859153
16,44856491,44819251,2023-09-19 09:01:32,,0 days 00:04:39,2023-09-19 09:06:11,,False,,2795,4.3658149,52.0129776,4.3481819,52.0054461
17,1512025447,44839179,2023-09-19 09:01:35,,0 days 00:06:58,2023-09-19 09:08:33,,False,,4188,4.3705445,51.9792168,4.351852,52.0088935
18,526397638,1436427129,2023-09-19 09:01:44,,0 days 00:10:32,2023-09-19 09:12:16,,False,,6322,4.357849,52.0268054,4.332432,52.0103374
