id,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes
0,True,1,2057,2541.92,0,0,0,"[['WALK', 2057, 2541]]"
1,True,1,2310,2855.24,0,0,0,"[['WALK', 2310, 2855]]"
2,True,4,1069,961.39,0,180,0,"[['WALK', 423, 480], ['RAIL', 180, 1852], ['WALK', 466, 480]]"
3,True,4,2026,2044.26,0,180,0,"[['WALK', 1492, 1651], ['RAIL', 180, 1852], ['WALK', 354, 392]]"
4,True,1,1729,2087.42,0,0,0,"[['WALK', 1729, 2087]]"
5,True,1,2920,3539.94,0,0,0,"[['WALK', 2920, 3539]]"
6,True,1,1944,2429.5,0,0,0,"[['WALK', 1944, 2429]]"
7,True,1,953,1177.99,0,0,0,"[['WALK', 953, 1177]]"
8,True,1,1249,1532.39,0,0,0,"[['WALK', 1249, 1532]]"
9,True,1,2149,2606.95,0,0,0,"[['WALK', 2149, 2606]]"
10,True,4,2261,2379.69,0,180,0,"[['WALK', 987, 1042], ['RAIL', 180, 1852], ['WALK', 1094, 1337]]"
11,True,1,2615,3140.85,0,0,0,"[['WALK', 2615, 3140]]"
12,True,1,2278,2751.97,0,0,0,"[['WALK', 2278, 2751]]"
13,True,1,1605,1917.33,0,0,0,"[['WALK', 1605, 1917]]"
14,True,1,2331,2830.86,0,0,0,"[['WALK', 2331, 2830]]"
15,True,1,1654,2028.95,0,0,0,"[['WALK', 1654, 2028]]"
16,True,1,1327,1634.57,0,0,0,"[['WALK', 1327, 1634]]"
17,True,3,2282,2413.09,0,180,0,"[['WALK', 1364, 1685], ['RAIL', 180, 1852], ['WALK', 738, 727]]"
18,True,1,2586,3156.28,0,0,0,"[['WALK', 2586, 3156]]"
19,True,1,1537,1914.28,0,0,0,"[['WALK', 1537, 1914]]"
20,True,1,1403,1737.47,0,0,0,"[['WALK', 1403, 1737]]"
21,True,1,1945,2413.17,0,0,0,"[['WALK', 1945, 2413]]"
22,True,1,2573,3163.06,0,0,0,"[['WALK', 2573, 3163]]"
23,True,1,1692,2033.15,0,0,0,"[['WALK', 1692, 2033]]"
24,True,1,1864,2313.19,0,0,0,"[['WALK', 1864, 2313]]"
25,True,1,1851,2270.86,0,0,0,"[['WALK', 1851, 2270]]"
26,True,1,2355,2834.15,0,0,0,"[['WALK', 2355, 2834]]"
27,True,1,1643,2078.1,0,0,0,"[['WALK', 1643, 2078]]"
28,True,1,1303,1585.2,0,0,0,"[['WALK', 1303, 1585]]"
29,True,1,2570,3128.56,0,0,0,"[['WALK', 2570, 3128]]"
30,True,1,3398,4275.15,0,0,0,"[['WALK', 3398, 4275]]"
31,True,1,1491,1808.25,0,0,0,"[['WALK', 1491, 1808]]"
32,True,1,1266,1550.38,0,0,0,"[['WALK', 1266, 1550]]"
33,True,1,2766,3383.94,0,0,0,"[['WALK', 2766, 3383]]"
34,True,1,1749,2151.72,0,0,0,"[['WALK', 1749, 2151]]"
35,True,4,2816,2929.16,0,180,0,"[['WALK', 927, 1013], ['RAIL', 180, 1852], ['WALK', 1709, 1915]]"
36,True,1,1742,2104.16,0,0,0,"[['WALK', 1742, 2104]]"
37,True,1,2462,2937.5,0,0,0,"[['WALK', 2462, 2937]]"
38,True,3,1985,2014.49,0,180,0,"[['WALK', 1193, 1440], ['RAIL', 180, 1852], ['WALK', 612, 573]]"
39,True,1,1699,2046.04,0,0,0,"[['WALK', 1699, 2046]]"
40,True,3,1853,1817.09,0,180,0,"[['WALK', 1168, 1240], ['RAIL', 180, 1852], ['WALK', 505, 576]]"
41,True,1,1396,1648.86,0,0,0,"[['WALK', 1396, 1648]]"
42,True,1,1400,1709.34,0,0,0,"[['WALK', 1400, 1709]]"
43,True,1,2963,3609.49,0,0,0,"[['WALK', 2963, 3609]]"
