request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state,time occ 1,time occ 2;;;;;;;;
0,UserDecisionRequest,1,180,180,2966;-1;-1,2988;-1;-1,,,,,278.9138289902777,2634.7327710788463,0:t_wait:0;t_drive:308.91382899027775;fare:263|1:t_wait:154.03520157294633;t_drive:308.9138289902778;fare:263,,,0,5,180.0,488.9138289902776,263,0,,338.9138289902776
1,UserDecisionRequest,1,180,180,2966;-1;-1,2973;-1;-1,,,,,296.69307469402173,2980.382453472116,0:t_wait:0;t_drive:376.34142212259326;fare:298|1:t_wait:154.03520157294633;t_drive:326.6930746940218;fare:298,,,0,5,180.0,556.3414221225929,298,0,67.42759313231534,338.9138289902776
2,UserDecisionRequest,1,300,300,2970;-1;-1,2987;-1;-1,,,,,171.63648313227776,1834.4631759372724,0:t_wait:104.91513427278915;t_drive:201.63648313227782;fare:183|1:t_wait:104.91513427278915;t_drive:201.63648313227782;fare:183,,,1,2,404.9151342727892,606.5516174050668,183,0,231.63648313227765,
3,UserDecisionRequest,1,360,360,2982;-1;-1,298;-1;-1,,,,,158.13938860976756,1274.390062559209,0:t_wait:0;t_drive:188.1393886097676;fare:127|1:t_wait:11.83038934960257;t_drive:188.1393886097676;fare:127,,,0,6,360.0,548.1393886097674,127,0,218.13938860976737,
4,UserDecisionRequest,1,360,360,2977;-1;-1,2983;-1;-1,,,,,13.47694671413731,112.30788928447755,0:t_wait:79.67189809945614;t_drive:43.476946714137284;fare:100|1:t_wait:0;t_drive:43.476946714137284;fare:100,,,1,9,360.0,403.4769467141373,100,0,73.47694671413728,
5,UserDecisionRequest,1,660,660,2983;-1;-1,2985;-1;-1,,,,,77.7585747541395,660.473174979857,0:t_wait:100.42005346517067;t_drive:107.75857475413954;fare:100|1:t_wait:0;t_drive:107.75857475413954;fare:100,,,1,9,660.0,767.7585747541395,100,0,137.75857475413954,
6,UserDecisionRequest,1,840,840,2993;-1;-1,2988;-1;-1,,,,,208.72429496749368,2316.518160262808,0:t_wait:20.890707553044194;t_drive:238.72429496749373;fare:231|1:t_wait:20.890707553044194;t_drive:238.72429496749373;fare:231,,,0,1,860.8907075530442,1099.6150025205377,231,0,268.7242949674935,
7,UserDecisionRequest,1,840,840,2966;-1;-1,2967;-1;-1,,,,,103.09018014133936,889.1057434150202,0:t_wait:229.98696027803135;t_drive:133.09018014133926;fare:100|1:t_wait:229.98696027803135;t_drive:133.09018014133926;fare:100,,,1,3,1069.9869602780316,1203.0771404193704,100,0,163.0901801413388,
8,UserDecisionRequest,1,900,900,2977;-1;-1,2986;-1;-1,,,,,111.9445594855096,1060.4065922814564,0:t_wait:143.3950832075518;t_drive:141.94455948550967;fare:106|1:t_wait:83.83847853172324;t_drive:141.94455948550967;fare:106,,,1,9,983.8384785317232,1125.7830380172325,106,0,,171.94455948550922
9,UserDecisionRequest,1,900,900,2976;-1;-1,2982;-1;-1,,,,,113.5625231680923,828.4892168769597,0:t_wait:113.23706194000329;t_drive:143.56252316809218;fare:100|1:t_wait:99.8766090386531;t_drive:143.5625231680923;fare:100,,,1,8,999.876609038653,1143.4391322067454,100,0,173.5625231680924,
10,UserDecisionRequest,1,960,960,2977;-1;-1,2991;-1;-1,,,,,254.82775117248477,2383.691365711668,0:t_wait:143.3950832075518;t_drive:284.8277511724848;fare:238|1:t_wait:23.838478531723126;t_drive:361.4606871724849;fare:238,,,1,9,983.8384785317232,1345.299165704207,238,0,219.51612768697464,171.94455948550922
11,UserDecisionRequest,1,1080,1080,2977;-1;-1,2981;-1;-1,,,,,113.57192524896666,969.4191104080554,0:t_wait:143.3950832075518;t_drive:143.57192524896664;fare:100|1:t_wait:132.58664960817623;t_drive:143.57192524896664;fare:100,,,1,7,1212.5866496081762,1356.158574857143,100,0,173.57192524896686,
12,UserDecisionRequest,1,1080,1080,2992;-1;-1,298;-1;-1,,,,,198.06309279928783,2377.795994888241,0:t_wait:168.0755609080336;t_drive:228.06309279928792;fare:237|1:t_wait:181.61629531920016;t_drive:228.06309279928792;fare:237,,,0,0,1248.075560908033,1476.1386537073215,237,0,258.0630927992886,
13,UserDecisionRequest,1,1140,1140,2987;-1;-1,2984;-1;-1,,,,,127.4257940665604,1389.2919531006646,0:t_wait:0;t_drive:157.42579406656046;fare:138|1:t_wait:0;t_drive:157.42579406656046;fare:138,,,0,2,1140.0,1297.42579406656,138,0,187.42579406656,
14,UserDecisionRequest,1,1200,1200,2975;-1;-1,2981;-1;-1,,,,,108.18066588994196,924.4919490828496,0:t_wait:70.06202256657639;t_drive:138.18066588994202;fare:100|1:t_wait:91.20710369889184;t_drive:138.18066588994202;fare:100,,,0,5,1270.062022566576,1408.242688456518,100,0,168.18066588994202,
15,UserDecisionRequest,1,1320,1320,2993;-1;-1,2969;-1;-1,,,,,63.79644102995483,886.0616809715947,0:t_wait:16.501022452873258;t_drive:93.79644102995485;fare:100|1:t_wait:16.501022452873258;t_drive:93.79644102995485;fare:100,,,0,3,1336.5010224528733,1430.297463482828,100,0,123.79644102995485,
16,UserDecisionRequest,1,1440,1440,2977;-1;-1,2979;-1;-1,,,,,85.83247653831305,715.2706378192755,0:t_wait:43.52576857432109;t_drive:115.83247653831313;fare:100|1:t_wait:43.52576857432109;t_drive:115.83247653831313;fare:100,,,0,2,1483.525768574321,1599.3582451126342,100,0,145.83247653831313,
17,UserDecisionRequest,1,1500,1500,2984;-1;-1,2972;-1;-1,,,,,166.20078449443824,1890.1043999290785,0:t_wait:133.26973817671228;t_drive:196.20078449443827;fare:189|1:t_wait:80.3549866679923;t_drive:196.20078449443827;fare:189,,,1,8,1580.3549866679923,1776.55577116243,189,0,226.20078449443758,
