pax_id,treq,origin_x,origin_y,destination_x,destination_y
0,2023-09-19 09:00:04,4.345319,51.9946395,4.3651607,52.0096535
1,2023-09-19 09:00:09,4.3765065,52.0060307,4.3596834,51.9923397
2,2023-09-19 09:00:11,4.356863,52.0035673,4.3644397,51.9882584
3,2023-09-19 09:00:18,4.3686495,52.014463,4.3603635,51.9913873
4,2023-09-19 09:00:26,4.3431116,51.9941687,4.3464906,52.0090658
5,2023-09-19 09:00:30,4.3285923,52.010084,4.3712324,52.0095623
6,2023-09-19 09:00:31,4.3530275,52.0006737,4.3817543,52.0061463
7,2023-09-19 09:00:32,4.3530767,52.0094521,4.3661269,52.0133694
8,2023-09-19 09:01:09,4.345899,51.9906525,4.3570331,51.9823691
9,2023-09-19 09:01:18,4.3411872,51.9928222,4.356104,52.0091468
10,2023-09-19 09:01:19,4.3517338,52.0135242,4.3478908,51.9872523
11,2023-09-19 09:01:28,4.3379508,51.9994285,4.3641424,51.9859244
12,2023-09-19 09:01:28,4.341082,51.9834591,4.3550532,52.0013032
13,2023-09-19 09:01:29,4.3442356,52.0000377,4.3614355,51.9927661
14,2023-09-19 09:01:29,4.3268283,52.0119179,4.3507402,52.0001748
15,2023-09-19 09:01:31,4.3437738,51.9997805,4.3362833,51.9859153
16,2023-09-19 09:01:32,4.3658149,52.0129776,4.3481819,52.0054461
17,2023-09-19 09:01:35,4.3705445,51.9792168,4.351852,52.0088935
18,2023-09-19 09:01:44,4.357849,52.0268054,4.332432,52.0103374
19,2023-09-19 09:01:46,4.3507521,51.9975991,4.343048,52.0120505
20,2023-09-19 09:01:56,4.3559812,52.0059087,4.3421259,51.9965676
21,2023-09-19 09:01:58,4.3320578,52.0142495,4.3551531,52.0043527
22,2023-09-19 09:02:02,4.3410681,52.0002309,4.3739406,52.0155653
23,2023-09-19 09:02:11,4.3552272,52.0032264,4.3443631,51.9900047
24,2023-09-19 09:02:15,4.36397,52.0197103,4.356863,52.0035673
25,2023-09-19 09:02:22,4.3651194,52.0138773,4.3442667,52.0013763
26,2023-09-19 09:02:34,4.3726508,52.0109376,4.3393514,52.0139518
27,2023-09-19 09:02:42,4.3580643,51.9980073,4.3501535,52.014411
28,2023-09-19 09:02:45,4.3622868,52.0124708,4.3444121,52.0046382
29,2023-09-19 09:03:04,4.3632052,51.9844371,4.3766737,52.0026864
30,2023-09-19 09:03:09,4.3462152,51.9826697,4.3726139,52.0061193
31,2023-09-19 09:03:18,4.3715478,52.0094149,4.3519781,52.0164762
32,2023-09-19 09:03:26,4.36476,52.016642,4.3523913,52.007957
33,2023-09-19 09:03:31,4.3771633,52.0114335,4.3372837,52.0014462
34,2023-09-19 09:03:51,4.3526104,51.9854122,4.3541882,52.0010144
35,2023-09-19 09:03:54,4.3733593,51.9915604,4.3387264,52.0085081
36,2023-09-19 09:04:13,4.3562114,51.9859646,4.3540308,52.0022546
37,2023-09-19 09:04:20,4.3485084,52.0058057,4.3568489,51.9827991
38,2023-09-19 09:04:44,4.3668974,51.9821535,4.3532998,52.0073995
39,2023-09-19 09:04:48,4.3474167,52.0118586,4.3671581,52.0036833
40,2023-09-19 09:04:52,4.3580433,52.0142252,4.3602687,51.99352
41,2023-09-19 09:04:55,4.3549626,52.0045232,4.3723567,52.0065598
42,2023-09-19 09:05:06,4.3494938,51.9893477,4.3539435,52.0009278
43,2023-09-19 09:05:06,4.3866317,52.0104541,4.3446842,52.0133938
44,2023-09-19 09:05:06,4.3521584,52.0142212,4.3550001,51.9962279
45,2023-09-19 09:05:14,4.3523962,52.0118114,4.3531113,51.993002
46,2023-09-19 09:05:17,4.3772091,52.0090564,4.3454018,51.9974707
47,2023-09-19 09:05:24,4.3334449,52.0140959,4.3554016,51.9995658
48,2023-09-19 09:05:38,4.3372336,51.9932068,4.3563616,52.0156164
49,2023-09-19 09:05:44,4.356223,52.0255551,4.3753401,52.0071703
50,2023-09-19 09:05:47,4.3634766,52.0053145,4.3606441,51.9923746
51,2023-09-19 09:05:50,4.3488902,52.003614,4.37886,52.0049641
52,2023-09-19 09:05:57,4.3596948,52.0004968,4.3617845,51.9880177
53,2023-09-19 09:05:59,4.3683955,51.9814414,4.3497,52.0015
54,2023-09-19 09:06:00,4.3576265,51.9865602,4.3498275,52.0105759
55,2023-09-19 09:06:14,4.3786895,52.0119276,4.342,52.0107
56,2023-09-19 09:06:22,4.3479227,52.0125323,4.3612903,52.0177204
57,2023-09-19 09:06:23,4.3753426,52.0047897,4.3532998,52.0073995
58,2023-09-19 09:06:48,4.3366953,52.0133298,4.3437738,51.9997805
59,2023-09-19 09:06:49,4.3586364,51.9946577,4.3629216,52.0042089
60,2023-09-19 09:06:57,4.3501937,51.9873559,4.3489442,52.0075898
61,2023-09-19 09:07:15,4.3469587,51.9833275,4.3561004,52.0029869
62,2023-09-19 09:07:25,4.340246,52.0080868,4.3454298,52.0163665
63,2023-09-19 09:07:39,4.3809962,51.9993783,4.3489442,52.0075898
64,2023-09-19 09:07:54,4.342504,52.0065441,4.3618783,52.0010243
65,2023-09-19 09:07:54,4.3648548,51.9853376,4.3552244,52.0057177
66,2023-09-19 09:07:58,4.3686495,52.014463,4.3530635,52.0020464
67,2023-09-19 09:08:14,4.3489474,52.0059179,4.327621,52.009128
68,2023-09-19 09:08:39,4.3569979,52.0031103,4.343489,52.014808
69,2023-09-19 09:08:40,4.3642165,52.0134708,4.3645335,51.9823474
70,2023-09-19 09:08:45,4.3526303,52.0219204,4.3465155,51.9845565
71,2023-09-19 09:08:53,4.3361471,52.0119174,4.3441291,51.9945825
72,2023-09-19 09:08:54,4.3829554,52.0043229,4.3578967,51.9812414
73,2023-09-19 09:08:55,4.3536803,52.0138214,4.3511577,51.9993607
74,2023-09-19 09:09:13,4.3605175,52.0183782,4.3609929,52.0045684
75,2023-09-19 09:09:23,4.3597096,51.9861712,4.3382206,51.9813339
76,2023-09-19 09:09:25,4.3574182,52.0217325,4.3518371,51.998128
77,2023-09-19 09:09:37,4.3785077,52.0081887,4.3492019,52.0110877
78,2023-09-19 09:09:52,4.3629575,52.0072319,4.3601601,51.9955724
79,2023-09-19 09:09:52,4.358866,52.0210628,4.3543073,51.9944339
80,2023-09-19 09:10:04,4.3738496,52.0126223,4.3509994,52.0095997
81,2023-09-19 09:10:06,4.368153,52.0023756,4.3410202,51.9964396
82,2023-09-19 09:10:12,4.3518544,52.0166429,4.3388662,51.9995519
83,2023-09-19 09:10:19,4.3614717,51.9842805,4.3567108,52.0037506
84,2023-09-19 09:10:45,4.3562512,51.9814698,4.3404589,52.0116607
85,2023-09-19 09:11:03,4.3787078,51.9988431,4.3558363,52.0048838
86,2023-09-19 09:11:15,4.339559,51.9805722,4.3621482,52.0189561
87,2023-09-19 09:11:20,4.3376263,52.0131505,4.3330824,51.997275
88,2023-09-19 09:11:23,4.3716872,52.0069122,4.3597006,51.9927743
89,2023-09-19 09:11:33,4.327621,52.009128,4.3552771,52.0098985
90,2023-09-19 09:11:38,4.3667296,51.9841874,4.333114,52.0086663
91,2023-09-19 09:11:41,4.3603,51.9818,4.3469349,51.9821035
92,2023-09-19 09:12:01,4.3585777,51.9941927,4.3553952,52.0234552
93,2023-09-19 09:12:01,4.3630546,52.0101572,4.3577426,51.9986954
94,2023-09-19 09:12:03,4.3687023,51.9990906,4.3530635,52.0020464
95,2023-09-19 09:12:05,4.3525536,51.9840944,4.347924,52.0097153
96,2023-09-19 09:12:14,4.34131,51.9884006,4.3618783,52.0010243
97,2023-09-19 09:12:20,4.336735,51.9882908,4.3549621,51.9972814
98,2023-09-19 09:12:41,4.3625657,52.0093135,4.3789264,51.9985341
99,2023-09-19 09:12:55,4.3444247,51.9874112,4.3596948,52.0004968
100,2023-09-19 09:13:21,4.34237,51.9957755,4.3321263,52.0081237
101,2023-09-19 09:13:28,4.3447617,51.9834098,4.333114,52.0086663
102,2023-09-19 09:13:37,4.3709297,52.0120223,4.3614027,52.0016495
103,2023-09-19 09:13:41,4.3497004,51.9871901,4.3777537,52.0021361
104,2023-09-19 09:13:51,4.3469349,51.9821035,4.3432843,52.0036225
105,2023-09-19 09:13:59,4.3422067,52.0120227,4.3370691,51.9835275
106,2023-09-19 09:13:59,4.355897,52.0170278,4.3568489,51.9827991
107,2023-09-19 09:14:06,4.3716101,52.007302,4.3521305,51.9978318
108,2023-09-19 09:14:16,4.3452365,52.0168154,4.3612149,52.0059971
109,2023-09-19 09:14:16,4.357743,52.026742,4.3426,52.001628
110,2023-09-19 09:14:21,4.3451494,51.9979894,4.3292079,52.0070116
111,2023-09-19 09:14:29,4.3493076,51.9805501,4.351938,52.0165333
112,2023-09-19 09:14:31,4.3553114,51.9971569,4.3605963,51.981054
113,2023-09-19 09:14:33,4.3580433,52.0142252,4.3350003,52.0114915
114,2023-09-19 09:14:38,4.349788,52.0204055,4.3586364,51.9946577
115,2023-09-19 09:14:47,4.3346097,51.988404,4.3550447,52.0098894
116,2023-09-19 09:14:49,4.3476513,51.9818123,4.36895,51.9887842
117,2023-09-19 09:15:05,4.3756315,52.0043654,4.3498652,52.0074046
118,2023-09-19 09:15:13,4.3658149,52.0129776,4.3388662,51.9995519
119,2023-09-19 09:15:14,4.3551531,52.0043527,4.3455769,51.9818586
120,2023-09-19 09:15:31,4.3680172,52.00636,4.3286884,52.0100011
121,2023-09-19 09:15:38,4.3815591,51.9965716,4.3586569,52.0032662
122,2023-09-19 09:15:51,4.3502845,51.9964547,4.3694643,51.9789958
123,2023-09-19 09:15:52,4.3736925,52.008298,4.3550447,52.0098894
124,2023-09-19 09:15:59,4.3780588,52.0064227,4.3494523,51.9977565
125,2023-09-19 09:16:00,4.385298,51.9971489,4.3544811,51.9922428
126,2023-09-19 09:16:16,4.3382987,52.0083142,4.3674907,51.9829427
127,2023-09-19 09:16:20,4.3587033,52.0047484,4.3787078,51.9988431
128,2023-09-19 09:16:21,4.3525536,51.9840944,4.3511523,52.0133652
129,2023-09-19 09:16:22,4.371351,52.0149074,4.3601852,51.99503
130,2023-09-19 09:16:28,4.3743674,52.0052663,4.3379124,51.9960664
131,2023-09-19 09:16:39,4.3631877,51.9829352,4.3526266,52.0186115
132,2023-09-19 09:16:52,4.3567218,52.0171396,4.367809,51.9914765
133,2023-09-19 09:17:02,4.3571748,52.0248633,4.3424393,51.9934
134,2023-09-19 09:17:13,4.3689009,52.0052285,4.3415692,52.0027327
135,2023-09-19 09:17:23,4.3447617,51.9834098,4.3623076,52.0004201
136,2023-09-19 09:17:35,4.3347201,52.0154742,4.356696,52.0051936
137,2023-09-19 09:17:46,4.3493491,52.0119654,4.3448502,51.9834329
138,2023-09-19 09:17:53,4.3518702,51.9987744,4.3615557,51.9849587
139,2023-09-19 09:17:58,4.342351,51.9791787,4.3508762,52.0065783
140,2023-09-19 09:18:02,4.3562111,52.017161,4.360584,51.9850049
141,2023-09-19 09:18:06,4.3683955,51.9814414,4.3500691,51.9964222
142,2023-09-19 09:18:22,4.3632696,52.0033584,4.3436388,52.0110106
143,2023-09-19 09:18:26,4.3545139,52.0101122,4.3576293,51.9961738
144,2023-09-19 09:18:33,4.3370946,51.9932143,4.3493096,52.0055868
145,2023-09-19 09:18:41,4.3394588,52.0134776,4.336899,51.9999067
146,2023-09-19 09:18:58,4.3576265,51.9865602,4.35525,52.0006638
147,2023-09-19 09:18:59,4.3815264,51.9977026,4.3497,52.0015
148,2023-09-19 09:19:08,4.3442667,52.0013763,4.3615557,51.9849587
149,2023-09-19 09:19:14,4.3568626,52.0240986,4.3584282,51.9972431
150,2023-09-19 09:19:19,4.3809041,51.9964125,4.3479627,51.9836634
151,2023-09-19 09:19:26,4.3418337,52.0037175,4.3715968,51.9838426
152,2023-09-19 09:19:27,4.3442942,52.0024378,4.3547157,52.0242746
153,2023-09-19 09:19:30,4.3586275,52.021168,4.3554016,51.9995658
154,2023-09-19 09:19:31,4.3342047,52.0097435,4.3761491,52.0093187
155,2023-09-19 09:19:41,4.3509701,51.9862421,4.356696,52.0051936
156,2023-09-19 09:19:42,4.3683955,51.9814414,4.3570589,51.9999399
157,2023-09-19 09:19:46,4.3350003,52.0114915,4.3565888,51.9904374
158,2023-09-19 09:19:47,4.3669026,52.0020167,4.3523648,52.0222389
159,2023-09-19 09:19:55,4.3375044,51.994375,4.3513845,52.0087004
160,2023-09-19 09:20:08,4.3612198,51.9819552,4.3609659,52.0147742
161,2023-09-19 09:20:23,4.3413581,52.0141005,4.3659412,52.0102199
162,2023-09-19 09:20:31,4.3561004,52.0029869,4.3522324,51.9872303
163,2023-09-19 09:20:51,4.3463555,51.9883321,4.3561004,52.0029869
164,2023-09-19 09:20:54,4.3818973,51.9951887,4.3649244,52.0057672
165,2023-09-19 09:20:55,4.3355,52.0151,4.3519503,52.0075841
166,2023-09-19 09:21:00,4.3563443,52.0049608,4.3641424,51.9859244
167,2023-09-19 09:21:06,4.3520093,52.0031914,4.3710999,51.9847749
168,2023-09-19 09:21:16,4.3540308,52.0022546,4.3275971,52.0081297
169,2023-09-19 09:21:18,4.3434744,52.0137413,4.368024,52.0108508
170,2023-09-19 09:21:25,4.3815955,52.006521,4.3387264,52.0085081
171,2023-09-19 09:21:29,4.3596631,52.0159836,4.3379124,51.9960664
172,2023-09-19 09:21:32,4.3533724,51.9901432,4.3422008,51.980989
173,2023-09-19 09:21:40,4.3661929,51.9851207,4.3433612,52.0078465
174,2023-09-19 09:21:40,4.3437769,51.9856583,4.3520093,52.0031914
175,2023-09-19 09:21:46,4.363996,51.9849768,4.3468613,51.9972069
176,2023-09-19 09:21:52,4.3404324,51.9860777,4.3556373,52.0162535
177,2023-09-19 09:22:03,4.3390626,52.0087958,4.3521619,52.0194457
178,2023-09-19 09:22:10,4.3522825,52.0099772,4.3600239,51.9888433
179,2023-09-19 09:22:22,4.3751283,52.0107629,4.343489,52.014808
180,2023-09-19 09:22:27,4.3457764,51.9899867,4.3815297,52.0064254
181,2023-09-19 09:22:29,4.368854,52.0102706,4.3478513,52.0065637
182,2023-09-19 09:22:33,4.3507402,52.0001748,4.3639861,52.0020851
183,2023-09-19 09:22:41,4.3478,51.9912,4.3625085,52.0174846
184,2023-09-19 09:22:45,4.3658375,51.9849408,4.3504058,52.0101064
185,2023-09-19 09:22:53,4.3554671,52.0098467,4.3503546,51.9963077
186,2023-09-19 09:22:56,4.3649888,52.0110222,4.3401509,51.9986693
187,2023-09-19 09:22:59,4.3642165,52.0134708,4.3538427,52.00584
188,2023-09-19 09:23:06,4.3441412,51.9942998,4.3281863,52.008284
189,2023-09-19 09:23:11,4.3558016,51.9870386,4.3454104,51.9865254
190,2023-09-19 09:23:12,4.3587863,51.9867239,4.3355986,51.9885652
191,2023-09-19 09:23:17,4.3438205,51.9957112,4.348473,52.0092525
192,2023-09-19 09:23:19,4.3733238,52.0052339,4.353593,52.0020442
193,2023-09-19 09:23:30,4.3629216,52.0042089,4.3368195,51.9834136
194,2023-09-19 09:23:32,4.3572571,51.9811329,4.3468613,51.9972069
195,2023-09-19 09:23:43,4.3513408,52.004756,4.3635207,52.0111177
196,2023-09-19 09:23:58,4.3497,52.0015,4.3429596,51.9922095
197,2023-09-19 09:23:58,4.3317075,52.0115115,4.3766168,52.0070784
198,2023-09-19 09:24:09,4.3543402,52.0040068,4.3766168,52.0070784
199,2023-09-19 09:24:11,4.3275971,52.0081297,4.3466,52.0081
200,2023-09-19 09:24:15,4.3622497,52.0041913,4.3437738,51.9997805
201,2023-09-19 09:24:15,4.360397,51.9946118,4.3410593,52.0026501
202,2023-09-19 09:24:24,4.3497223,52.0028507,4.3639396,52.0063929
203,2023-09-19 09:24:55,4.381445,52.0063933,4.3521583,52.0230972
204,2023-09-19 09:24:56,4.344723,51.9791984,4.3551339,51.9968239
205,2023-09-19 09:25:18,4.3670652,52.0269787,4.3618,52.0101
206,2023-09-19 09:25:18,4.3596158,51.9812003,4.3563443,52.0049608
207,2023-09-19 09:25:31,4.3558335,52.0177055,4.3627735,52.0076875
208,2023-09-19 09:25:33,4.3292057,52.0067977,4.3545942,51.997106
209,2023-09-19 09:25:36,4.3293518,52.0121782,4.3510572,52.0073539
210,2023-09-19 09:25:54,4.3427276,52.013675,4.3549621,51.9972814
211,2023-09-19 09:25:55,4.3512627,52.0086421,4.3609454,51.9878658
212,2023-09-19 09:25:57,4.3630546,52.0101572,4.3316191,52.0140637
213,2023-09-19 09:25:59,4.3642853,52.0021758,4.3499083,52.0080248
214,2023-09-19 09:26:02,4.3559,52.0258499,4.3587936,52.0027376
215,2023-09-19 09:26:05,4.3386031,52.0087329,4.3402389,51.9986122
216,2023-09-19 09:26:16,4.363129,52.0123966,4.3384224,52.0125123
217,2023-09-19 09:26:26,4.3494523,51.9977565,4.3594076,52.0133166
218,2023-09-19 09:26:51,4.3372053,52.0128005,4.3392121,52.0014745
219,2023-09-19 09:26:53,4.3375851,51.9807082,4.3542762,52.0106311
220,2023-09-19 09:27:09,4.3576265,51.9865602,4.371652,52.0026521
221,2023-09-19 09:27:17,4.3410124,51.9867026,4.349587,52.003913
222,2023-09-19 09:27:20,4.371606,52.0086592,4.3432693,52.0055719
223,2023-09-19 09:27:21,4.3741016,52.010824,4.363129,52.0123966
224,2023-09-19 09:27:24,4.341,51.9921,4.3358403,52.0124519
225,2023-09-19 09:27:24,4.3606443,52.0163873,4.3727725,51.9818701
226,2023-09-19 09:27:29,4.3617733,52.0038708,4.3766518,51.999313
227,2023-09-19 09:27:36,4.3705445,51.9792168,4.3547291,52.0012286
228,2023-09-19 09:27:39,4.3821194,51.9948701,4.34237,51.9957755
229,2023-09-19 09:27:48,4.3444247,51.9874112,4.3545402,52.0073719
230,2023-09-19 09:28:23,4.3388419,51.9798388,4.3539435,52.0009278
231,2023-09-19 09:28:28,4.3362833,51.9859153,4.3662669,52.0176814
232,2023-09-19 09:28:37,4.3361518,51.9883498,4.3673488,52.006114
233,2023-09-19 09:28:47,4.336735,51.9882908,4.3541882,52.0010144
234,2023-09-19 09:28:58,4.360834,52.0128522,4.3513335,51.9794641
235,2023-09-19 09:29:01,4.3405306,51.997689,4.3479227,52.0125323
236,2023-09-19 09:29:22,4.3509416,52.0154585,4.3520649,51.9940494
237,2023-09-19 09:29:48,4.355615,52.0078685,4.3375774,52.0101947
238,2023-09-19 09:29:50,4.3628847,51.9873248,4.3564326,52.0170201
239,2023-09-19 09:30:09,4.3817088,51.9995676,4.3544811,51.9922428
240,2023-09-19 09:30:13,4.347924,52.0097153,4.3650403,52.0153602
241,2023-09-19 09:30:14,4.340442,51.9807103,4.3543073,51.9944339
242,2023-09-19 09:30:30,4.3764267,52.0092878,4.3486618,51.9949395
243,2023-09-19 09:30:36,4.3435926,52.0045925,4.3573841,52.0144589
244,2023-09-19 09:30:38,4.3492945,51.9884087,4.3525939,52.0139121
245,2023-09-19 09:30:44,4.362211,52.0275607,4.342461,52.0017803
246,2023-09-19 09:30:46,4.3614593,51.9819981,4.3478,51.9912
247,2023-09-19 09:30:49,4.3370946,51.9932143,4.3614027,52.0016495
248,2023-09-19 09:30:50,4.3719752,52.0090731,4.3481034,52.0144122
249,2023-09-19 09:31:01,4.3631394,51.9847958,4.3450254,52.0154906
250,2023-09-19 09:31:03,4.3394558,51.9827359,4.3522139,52.0039774
251,2023-09-19 09:31:10,4.3497449,51.9983537,4.338174,51.9814431
252,2023-09-19 09:31:15,4.3549621,51.9972814,4.3355198,51.9887491
253,2023-09-19 09:31:22,4.3665183,52.014952,4.3491702,52.0095679
254,2023-09-19 09:31:48,4.3549388,52.017624,4.3426935,52.0053058
255,2023-09-19 09:31:51,4.3444247,51.9874112,4.3617733,52.0038708
256,2023-09-19 09:32:07,4.369788,51.9872178,4.3525968,52.0180092
257,2023-09-19 09:32:14,4.3606172,52.0057698,4.3441569,52.0048548
258,2023-09-19 09:32:14,4.3446884,51.9877641,4.35525,52.0006638
259,2023-09-19 09:32:19,4.3452369,51.996415,4.3620432,52.0033037
260,2023-09-19 09:32:20,4.3799325,51.9890633,4.3442203,51.9873786
261,2023-09-19 09:32:20,4.3661059,52.0025738,4.3400387,51.9817347
262,2023-09-19 09:32:31,4.3709641,52.0161739,4.3413581,52.0141005
263,2023-09-19 09:32:32,4.3411036,51.982942,4.3514414,52.0179644
264,2023-09-19 09:32:40,4.3426754,52.0016524,4.3716616,52.0073842
265,2023-09-19 09:32:45,4.3624286,52.02756,4.3384224,52.0125123
266,2023-09-19 09:32:54,4.3536803,52.0138214,4.3729984,52.0080428
267,2023-09-19 09:32:54,4.3570339,52.010082,4.3429596,51.9922095
268,2023-09-19 09:33:03,4.3671461,52.0014787,4.3599227,52.0018693
269,2023-09-19 09:33:16,4.3649966,52.0007895,4.3649004,52.0171404
270,2023-09-19 09:33:19,4.3466103,52.0168247,4.3554528,52.002779
271,2023-09-19 09:33:29,4.3817117,52.0016895,4.345082,52.014441
272,2023-09-19 09:33:35,4.3723265,51.9990201,4.3654169,51.9861337
273,2023-09-19 09:33:41,4.3294595,52.0069047,4.3683283,52.0069599
274,2023-09-19 09:33:46,4.3615194,52.0055203,4.3437738,51.9997805
275,2023-09-19 09:33:50,4.3672255,52.0061554,4.3565356,52.0172936
276,2023-09-19 09:33:52,4.3695588,52.0095727,4.3445325,52.0112493
277,2023-09-19 09:34:18,4.3569346,51.9803148,4.3559854,52.0170664
278,2023-09-19 09:34:26,4.3617733,52.0038708,4.3474167,52.0118586
279,2023-09-19 09:34:30,4.3646858,52.01671,4.3481819,52.0054461
280,2023-09-19 09:34:30,4.3481316,52.014368,4.3502845,51.9964547
281,2023-09-19 09:34:31,4.3662669,51.986333,4.3794705,52.0040267
282,2023-09-19 09:34:41,4.3407864,51.9883097,4.347924,52.0097153
283,2023-09-19 09:34:44,4.385298,51.9971489,4.3533119,52.0153637
