Continent;Country;City;Uber price (USD);GDP/cap (2021);GDP year;Gini;Gini year;Palma (Sustainable Development Report);Downloads/cap (Priori data, 2018);Usage data;Statista Global Consumer Survey 2022 - share used last year
South America;Argentina;Buenos Aires;6.19;10,729.20;;42.3;2020;2.01;;;
Oceania;Australia;Canberra;24.61;59,934.10;;34.3;2018;1.3;;;0.29
Europe;Austria;Vienna;21.37;53,267.90;;30.2;2019;0.95;;;
Asia;Bahrain;Nanama;10.97;22,232.30;;;;;;;
Asia;Bangladesh;Dhaka;4.86;2,503.00;;32.4;2016;1.28;;;
Europe;Belgium;Brussels;20.58;51,767.80;;27.2;2019;0.9;0.019;;
South America;Bolivia;La Paz;5.23;3,414.90;;43.6;2020;2.07;;;
South America;Brazil;Brasilia;5.03;7,518.80;;48.9;2020;2.92;;;0.43
North America;Canada;Ottawa;13.39;52,051.40;;33.3;2017;1.09;;;
South America;Chile;Santiago;7.77;16,502.80;;44.9;2020;2.55;;;
South America;Colombia;Bogota;3.69;6,131.20;;54.2;2020;3.28;;;
North America;Costa Rica;San Jose;3.34;12,508.60;;49.3;2020;3.14;;;
Africa;Cote d'Ivoire;Abidjan;4.25;2,578.80;;37.2;2018;2.01;;;
Europe;Croatia;Zagreb;8.81;17,398.80;;28.9;2019;1.11;;;
Europe;Czech Republic;Prague;10.83;26,378.50;;25.3;2019;0.84;;;
North America;Dominican Republic;Santo Domingo;5.18;8,603.80;;39.6;2020;2.26;;;
South America;Ecuador;Quito;5;5,934.90;;47.3;2020;2.49;;;
Africa;Egypt;Cairo;3.73;3,876.40;;31.5;2017;1.23;;;
North America;El Salvador;San Salvador;4.94;4,408.50;;38.8;2019;1.72;;;
Europe;Estonia;Talinn;9.69;27,280.70;;30.8;2019;1.1;;;
Europe;Finland;Helsinki;19.93;53,982.60;;27.7;2019;0.95;;;
Europe;France;Paris;28.89;43,518.50;;32.4;2018;1.08;0.036;;0.1
Europe;Germany;Berlin;23.59;50,801.80;;31.7;2018;1.05;0.01;;0.03
Africa;Ghana;Accra;3.62;2,445.30;;43.5;2016;2.25;;;
Europe;Greece;Athens;12.15;20,276.50;;33.1;2019;1.14;;;
North America;Guatemala;Guatemala City;5.31;5,025.60;;48.3;2014;2.91;;;
North America;Honduras;Tegucigalpa;5.28;2,831.00;;48.2;2019;3.76;;;
Asia;India;New Delhi;2.47;2,277.40;;35.7;2011;3.09;;;0.42
Europe;Ireland;Dublin;28.58;99,152.10;;30.6;2018;1.07;;;
Asia;Israel;Tel Aviv;20.95;51,430.10;;38.6;2018;1.38;;;
Europe;Italy;Rome;20.58;35,551.30;;35.2;2018;1.26;0.011;;
North America;Jamaica;Kingston;5.87;4,586.70;;45.5;2004;;;;
Asia;Japan;Tokyo;30.84;39,285.20;;32.9;2013;1.28;;;
Asia;Jordan;Amman;4.89;4,405.80;;33.7;2010;1.36;;;
Africa;Kenya;Nairobi;4.59;2,006.80;;40.8;2015;1.92;;;
Europe;Lithuania;Vilnius;7.42;23,433.40;;35.3;2019;1.48;;;
North America;Mexico;Mexico City;5.02;9,926.40;;45.4;2020;2.04;;;
Europe;Netherlands;Amsterdam;28.38;58,061.00;;29.2;2019;1.09;0.029;;
Oceania;New Zealand;Wellington;16.56;48,801.70;;;;1.43;;;
Africa;Nigeria;Abuja;2.45;2,085.00;;35.1;2018;2.17;;;
Europe;Norway;Oslo;32.17;89,202.80;;27.7;2019;0.9;;;
Asia;Pakistan;Islamabad;1.39;1,537.90;;29.6;2018;1.37;;;
North America;Panama;Panama City;5.5;14,516.50;;49.8;2019;3.12;;;
South America;Paraguay;Asuncion;4.75;5,400.10;;43.5;2020;2.58;;;
South America;Peru;Lima;4.61;6,692.20;2021;43.8;2020;2.17;;;
Europe;Poland;Warsaw;;17,840.90;;30.2;2018;0.99;0.022;;
Europe;Portugal;Lisbon;10.86;24,262.20;;32.8;2019;1.16;0.051;;
Asia;Qatar;Doha;4.31;61,276.00;;;;;;;
Europe;Romania;Bucharest;6.71;14,861.90;;34.8;2019;1.3;0.023;;
Europe;Russia;Moscow;;12,172.80;;36;2020;1.19;0.023;;
Asia;Saudi Arabia;Riyadh;7.31;23,585.90;;;;;;;
Europe;Slovakia;Bratislava;10.16;29,200.80;;23.2;2019;0.71;;;
Africa;South Africa;Pretoria;7.21;6,994.20;;63;2014;6.89;;;
Europe;Spain;Madrid;15.65;30,115.70;;34.3;2019;1.19;0.029;;0.14
Asia;Sri Lanka;Colombo;3.02;3,814.70;;39.3;2016;1.86;;;
Europe;Sweden;Stockholm;22.05;60,239.00;;29.3;2020;1;0.027;;
Europe;Switzerland;Bern;42.8;93,457.40;;33.1;2018;1.18;0.03;;
Asia;Taiwan;Taipei;11.28;;;;;;;3 million;
Asia;Turkey;Ankara;5.51;9,586.60;;41.9;2019;1.84;0.03;;
Africa;Uganda;Kampala;6.69;858.1;;42.7;2019;2.15;;;
Asia;United Arab Emirates;Abu Dhabi;9.17;36,284.60;;26;2018;1.18;;;
Europe;United Kingdom;London;26.66;47,334.40;;35.1;2017;1.57;0.057;3.5 million;0.22
South America;Uruguay;Montevideo;9.07;17,020.60;;40.2;2020;1.82;;;
North America;United States;Washington D.C.;21.86;69,287.50;;41.5;2019;1.81;;;0.18
