scenario,inform,requests,gets_offer,accepts_offer,mean_wait,corr_mean_wait,perc_wait,perc_wait_req,bike,car,pt,nP,vot_inf,vot_req,std_perc_wait,std_exp_wait,std_corr_wait,std_perc_wait_req,cons_surplus,pickup_time,match_time,corr_match_time,comm-rate,fare
0.05_0.5,72519.0,3772.6666666666665,0.8901989861032673,3358.4,381.3920492029561,536.986404015286,701.2580115865089,601.9647583861748,51861.666666666664,10747.400000000001,6137.266666666667,75000.0,10.233057905857008,11.316438709703021,321.09708189638275,270.9766209264859,510.12983628653313,276.1326261932716,1783.5746427672063,253.82370081099813,127.56834839195803,,5,0.5
0.05_0.75,61695.333333333336,4804.8,0.9960259621429008,4785.666666666667,171.67341266119797,178.13554536958654,231.57709598159468,197.37212562450085,42882.53333333333,9092.933333333332,4915.066666666667,75000.0,11.364263342152164,15.656719101559245,167.64950630920336,185.15596601293703,209.97677650940832,136.95772723554103,4551.326699026737,164.75094937177963,6.922463289418332,,5,0.75
0.05_1.0,46793.0,3695.0,1.0,3695.0,136.56095960063635,136.56095960063635,155.58686961112676,136.78349352104814,32285.8,7337.733333333334,3474.466666666667,75000.0,13.182317798915378,17.953284110395764,115.24557825381515,156.60527623307675,156.60527623307675,95.66092270189303,3608.5338335511165,137.32391506827128,-0.7629554676349244,,5,1.0
0.05_1.25,33426.0,2599.866666666667,1.0,2599.866666666667,112.79899639925343,112.79899639925343,131.28765604559132,119.16976475717858,22828.333333333332,5703.266666666666,2294.5333333333333,75000.0,15.365395121502102,20.422368486715875,89.46852790011526,123.84858616245897,123.84858616245897,76.89315503046001,2515.6728761947334,114.48301853805305,-1.684022138799625,,5,1.25
0.05_1.5,23290.666666666668,1770.4000000000003,1.0,1770.4000000000003,107.02922617793466,107.02922617793466,120.86096241232258,110.79134832391956,15791.800000000001,4277.466666666667,1451.0,75000.0,17.73057455028012,23.249749800436064,73.11233316032225,111.38622221604885,111.38622221604885,63.33116570479235,1712.2714448557108,109.15059514176782,-2.1213689638331563,,5,1.5
0.05_1.75,16084.333333333334,1166.7333333333333,1.0,1166.7333333333333,105.75168451017413,105.75168451017413,122.76395283618088,112.53400904307597,10849.933333333334,3158.6666666666665,909.0,75000.0,20.210242701334842,25.955284281697548,69.8482361918953,104.46496011196075,104.46496011196075,59.60515857191009,1093.7134775554512,108.29753707283815,-2.5458525626640256,,5,1.75
0.05_2.0,11124.0,790.0,1.0,790.0,107.68828115556425,107.68828115556425,124.26245900576386,112.24834915383046,7432.066666666667,2324.733333333333,577.1999999999999,75000.0,22.745132808982717,28.657935634061886,70.14025944921981,100.9075084903504,100.9075084903504,56.38066185040824,739.7939623616585,110.67254796949926,-2.9842668139350033,,5,2.0
0.05_2.25,7714.333333333333,532.0,1.0,532.0,114.18551548537721,114.18551548537721,131.01560710869296,117.36113687769755,5143.533333333334,1669.6666666666667,369.1333333333334,75000.0,25.318765890693356,31.68297575833243,67.32931482323006,101.14801268959646,101.14801268959646,54.15334428203092,485.549806506239,117.60122725714105,-3.4157117717638585,,5,2.25
0.05_2.5,5409.666666666667,343.40000000000003,1.0,343.40000000000003,129.23983515540627,129.23983515540627,145.30559673620598,131.8256708208244,3592.0,1231.8,242.46666666666667,75000.0,27.922963899986712,34.606549730935576,69.79583565964363,110.95824773532551,110.95824773532551,58.91018951021982,300.30871350285474,133.05885427496253,-3.819019119556223,,5,2.5
0.15_0.5,72519.0,2873.933333333333,0.7665830243703132,2202.5333333333333,414.36688721992545,737.8609509839683,958.7264485524289,836.6884218952317,52479.4,10947.933333333334,6217.733333333334,75000.0,10.233057905857008,10.011945238156718,352.1883887731615,265.03714050695794,629.414622193052,327.4122890618421,960.5378869254782,223.50476028978576,190.86212693013965,,15,0.5
0.15_0.75,61695.333333333336,4160.266666666666,0.9908844374999252,4122.266666666666,241.25631252988114,255.44705965900064,344.4776565102038,287.3496255439056,43309.799999999996,9259.133333333333,4966.133333333333,75000.0,11.364263342152164,14.941784202836251,219.25102952130433,236.07566832625454,277.1606872573916,178.31344215743033,3220.261824471993,224.45219320695307,16.804119322928084,,15,0.75
0.15_1.0,46793.0,3528.6,0.99977518477746,3527.8000000000006,156.98680536744072,157.35321771310478,189.68273408941937,163.53479278137462,32394.600000000002,7382.466666666667,3487.3333333333335,75000.0,13.182317798915378,17.76752017344693,135.89937138594243,171.44000132982626,172.8846074189994,109.54716480382473,3231.677377537162,155.84704645821162,1.1397589092290579,,15,1.0
0.15_1.25,33426.0,2509.733333333333,1.0,2509.733333333333,133.05446990197427,133.05446990197427,152.8447863578668,136.89156753160879,22892.8,5721.066666666666,2302.4,75000.0,15.365395121502102,20.286517722817177,103.74373495203197,143.0784193839954,143.0784193839954,86.56761014399426,2309.259380625486,134.29597200430615,-1.2415021023318957,,15,1.25
0.15_1.5,23290.666666666668,1716.8666666666666,1.0,1716.8666666666666,119.77178960703147,119.77178960703147,137.42489281003768,124.81814359296294,15827.866666666667,4291.733333333334,1454.2,75000.0,17.73057455028012,23.137621352418588,81.39311369958573,119.88784220687636,119.88784220687636,69.05108253298947,1590.0517845048728,121.62177958225492,-1.8499899752234361,,15,1.5
0.15_1.75,16084.333333333334,1135.5333333333333,1.0,1135.5333333333333,118.31927305925707,118.31927305925707,136.71956835965065,125.08175389458381,10871.666666666666,3170.1333333333337,907.0,75000.0,20.210242701334842,25.885223804103703,74.66851452666846,113.15571442987523,113.15571442987523,64.42872062750642,1024.0127026894843,120.548814173238,-2.2295411139809374,,15,1.75
