scenario,plat_profit,comm-rate,fare
0.05_0.5,858.9566966666667,5,0.5
0.05_0.75,1436.971955000001,5,0.75
0.05_1.0,1342.8224500000003,5,1.0
0.05_1.25,1101.9524625000006,5,1.25
0.05_1.5,848.2252099999996,5,1.5
0.05_1.75,621.0653408333337,5,1.75
0.05_2.0,458.96993333333324,5,2.0
0.05_2.25,338.66766750000016,5,2.25
0.05_2.5,232.70772499999998,5,2.5
0.15_0.5,1950.8373149999989,15,0.5
0.15_0.75,3717.1060500000035,15,0.75
0.15_1.0,3844.0206400000006,15,1.0
0.15_1.25,3187.8393375000014,15,1.25
0.15_1.5,2466.138269999998,15,1.5
0.15_1.75,1810.2540450000004,15,1.75
0.15_2.0,1331.8688599999996,15,2.0
0.15_2.25,977.4139575000003,15,2.25
0.15_2.5,667.8259249999999,15,2.5
0.1_0.5,1507.8055466666665,10,0.5
0.1_0.75,2723.4490800000026,10,0.75
0.1_1.0,2629.690746666668,10,1.0
0.1_1.25,2166.3392500000014,10,1.25
0.1_1.5,1673.1114499999994,10,1.5
0.1_1.75,1227.382688333334,10,1.75
0.1_2.0,902.5557333333331,10,2.0
0.1_2.25,663.9652350000001,10,2.25
0.1_2.5,454.3473166666666,10,2.5
0.25_0.5,2141.055941666667,25,0.5
0.25_0.75,4476.670599999999,25,0.75
0.25_1.0,5857.436733333335,25,1.0
0.25_1.25,5051.849875000003,25,1.25
0.25_1.5,3912.466399999999,25,1.5
0.25_1.75,2881.403412500001,25,1.75
0.25_2.0,2132.878266666666,25,2.0
0.25_2.25,1547.9914125000005,25,2.25
0.25_2.5,1059.0497500000001,25,2.5
0.2_0.5,2159.454986666667,20,0.5
0.2_0.75,4305.516210000001,20,0.75
0.2_1.0,4943.802266666667,20,1.0
0.2_1.25,4160.195350000001,20,1.25
0.2_1.5,3223.9723599999984,20,1.5
0.2_1.75,2368.0901966666675,20,1.75
0.2_2.0,1734.5450133333331,20,2.0
0.2_2.25,1277.2541900000006,20,2.25
0.2_2.5,865.1553,20,2.5
0.35_0.5,2200.601701666666,35,0.5
0.35_0.75,3873.891542499999,35,0.75
0.35_1.0,6018.667619999999,35,1.0
0.35_1.25,6325.119704166665,35,1.25
0.35_1.5,5078.641259999998,35,1.5
0.35_1.75,3789.138161666667,35,1.75
0.35_2.0,2795.349059999999,35,2.0
0.35_2.25,2024.5713950000002,35,2.25
0.35_2.5,1347.0724166666666,35,2.5
0.3_0.5,2100.055100000001,30,0.5
0.3_0.75,4352.672054999998,30,0.75
0.3_1.0,6377.639060000004,30,1.0
0.3_1.25,5796.594475000002,30,1.25
0.3_1.5,4550.213309999998,30,1.5
0.3_1.75,3368.571805,30,1.75
0.3_2.0,2473.7208399999995,30,2.0
0.3_2.25,1802.4177750000001,30,2.25
0.3_2.5,1210.57495,30,2.5
0.45_0.5,2668.3874400000004,45,0.5
0.45_0.75,2574.7991999999995,45,0.75
0.45_1.0,3930.0898500000017,45,1.0
0.45_1.25,5308.320412499998,45,1.25
0.45_1.5,5380.5223799999985,45,1.5
0.45_1.75,4166.4985050000005,45,1.75
0.45_2.0,3193.83588,45,2.0
0.45_2.25,2272.77657,45,2.25
0.45_2.5,1489.7961000000003,45,2.5
0.4_0.5,2420.5432799999994,40,0.5
0.4_0.75,3294.1088999999993,40,0.75
0.4_1.0,5026.573466666666,40,1.0
0.4_1.25,6316.3073333333305,40,1.25
0.4_1.5,5399.65868,40,1.5
0.4_1.75,4074.1315800000007,40,1.75
0.4_2.0,3042.4942399999995,40,2.0
0.4_2.25,2192.22192,40,2.25
0.4_2.5,1438.6620000000003,40,2.5
0.55_0.5,3196.1245249999993,55,0.5
0.55_0.75,2595.6289699999998,55,0.75
0.55_1.0,2011.1782900000005,55,1.0
0.55_1.25,1818.5055624999998,55,1.25
0.55_1.5,2559.9757699999996,55,1.5
0.55_1.75,2732.902205,55,1.75
0.55_2.0,2774.8716600000007,55,2.0
0.55_2.25,2017.5060950000004,55,2.25
0.55_2.5,1374.8364666666666,55,2.5
0.5_0.5,2911.9315999999994,50,0.5
0.5_0.75,2485.46755,50,0.75
0.5_1.0,2815.092933333332,50,1.0
0.5_1.25,3562.658375000001,50,1.25
0.5_1.5,4454.335350000001,50,1.5
0.5_1.75,3855.064750000001,50,1.75
0.5_2.0,3176.7308666666668,50,2.0
0.5_2.25,2253.2170999999994,50,2.25
0.5_2.5,1510.4714166666665,50,2.5
