scenario,inform,regist,rejected_reg,particip,reject_particip,mean_perc_inc,mean_perc_inc_ptcp,mean_perc_inc_reg,mean_exp_inc,rel_perc_inc,rel_perc_inc_reg,rel_perc_inc_ptcp,std_perc_inc,std_exp_inc,std_perc_inc_reg,std_perc_inc_ptcp,res_wage_inf,res_wage_reg,res_wage_ptcp,new_regist,deregist,driver_surplus,mean_rev,mean_op_costs,ivt_costs,dh_costs,mean_dh_dist,mean_dh_time,drive_time,not_idle_time,share_idle_time,comm-rate,fare
0.05_0.5,2500.0,154.26666666666665,0.0,96.8,0.0,74.22329461442568,74.3102853122892,74.4371322215106,74.84498376061997,0.5561540681805823,1.3397817569684831,1.8006313329023849,1.1937879031573242,6.645522197434903,2.1081624869740714,2.338303577339695,200.49374349095186,106.42579958754528,44.926672893458,5.3999999999999995,6.466666666666666,-194.72859943066308,149.5229542803432,74.67797051972322,52.658648402465474,22.019322117257754,88.07728846903102,8807.7288469031,21063.459360986188,29871.188207889285,-0.03719403499615582,5,0.5
0.05_0.75,2500.0,269.53333333333336,0.0,204.73333333333335,0.0,88.7444608409533,89.06675167463878,88.75105226198157,88.30959493645003,0.6733474258284199,1.5483341431279172,1.8319293364523792,2.8459716467497063,15.057541197737015,4.895633272191577,5.137629694470907,201.50756437741794,88.66715865652895,52.75390170896239,7.933333333333334,7.666666666666667,1875.7934823303756,132.88433755154912,44.57474261509907,34.93096674469407,9.643775870405005,38.57510348162002,3857.5103481620026,13972.38669787763,17829.897046039627,0.3809063525680685,5,0.75
0.05_1.0,2500.0,275.40000000000003,0.0,210.13333333333333,0.0,89.78676521760467,90.56678376442152,89.81152256153138,90.07661788494634,0.6791200857482144,1.5612538220884626,1.849818024485022,4.86783943729973,24.354089523503415,8.79367519352512,8.993391805759451,199.25022985655627,91.03732708718292,53.33432432445179,8.466666666666667,8.466666666666667,2200.1862837335398,121.49606468691,31.41944680196366,25.374714582315658,6.044732219647998,24.178928878591993,2417.892887859199,10149.885832926264,12567.778720785462,0.5636187944171714,5,1.0
0.05_1.25,2500.0,251.79999999999998,0.0,191.66666666666666,0.0,87.89806794697722,88.9561209194946,88.07184052888424,86.44448811334887,0.6638438914745584,1.5444825909776607,1.8188455772761027,5.5727406706936025,28.12310651088732,10.034849047556222,10.179919341931763,199.8379162028488,85.03161901382714,53.27203477281731,8.533333333333333,6.3999999999999995,1318.3466573402493,109.2629168857331,22.818428772384255,18.932220876574778,3.8862078958094783,15.544831583237913,1554.4831583237913,7572.888350629913,9127.371508953704,0.6830773781613297,5,1.25
0.05_1.5,2500.0,218.20000000000002,0.0,157.20000000000002,0.0,84.31435474797387,85.89290503650227,84.51689284175755,84.35808220641402,0.6289355311370072,1.4562401577608266,1.7659979016055842,6.059746034717221,31.39349018461049,11.204922771870612,10.75681124976336,198.9882758664622,86.48474556185045,52.66792047686099,6.933333333333334,9.066666666666666,603.601986878038,102.62582552197505,18.267743315561017,15.186413934059447,3.0813293815015697,12.325317526006279,1232.5317526006277,6074.565573623779,7307.097326224405,0.7462813428394304,5,1.5
0.05_1.75,2500.0,185.0,0.0,125.39999999999999,0.0,80.07545704440669,82.15604551542063,80.20587949160637,79.55595624062312,0.600785843870482,1.4089339615880772,1.7977504785662914,6.384583031382429,32.45253408733316,12.032207086895001,11.65260918061171,199.6087600686184,98.02247827692844,49.34616791946262,7.666666666666667,7.8,69.94238307615427,94.26147302271568,14.705516782092547,12.17765963144013,2.5278571506524177,10.11142860260967,1011.142860260967,4871.063852576052,5882.206712837019,0.7957567113598257,5,1.75
0.05_2.0,2500.0,163.66666666666666,0.0,102.13333333333333,0.0,73.6805358173366,75.77818123353488,74.18234831475696,73.56821651480095,0.5633840506807869,1.381230857246227,1.8597335042648526,6.188508356732805,32.883606175160274,10.784130644050343,11.445784730606666,198.59074455409367,95.25291195518224,44.08142751411464,7.0,6.933333333333334,-274.2645372075479,85.51471814971694,11.946501634915991,9.799530540863422,2.146971094052571,8.587884376210283,858.7884376210283,3919.8122163453686,4778.600653966397,0.8340763661817224,5,2.0
0.05_2.25,2500.0,139.86666666666667,0.0,78.26666666666667,0.0,72.00840528107983,74.09828560417235,72.11316271919527,71.96283290581523,0.5385684973402686,1.2543959272256175,1.808107435807166,5.972048504269064,33.653934939310425,10.430497133029556,11.451617044274975,200.89932294425918,113.18124970608177,44.03070065464641,6.0,6.933333333333334,-626.5707565908369,82.48018618048444,10.517353274669203,8.510152481738329,2.007200792930876,8.028803171723505,802.8803171723506,3404.0609926953307,4206.9413098676805,0.8539256489629277,5,2.25
0.05_2.5,2500.0,118.93333333333334,0.0,58.333333333333336,0.0,65.35782802235221,67.85576673053298,65.82180354938731,67.09859323439251,0.4941024822314697,1.1448280158021917,1.7587948470837533,5.7982381372560425,32.6081495434573,10.939333389148123,11.622537117574575,199.4086270367941,114.5122150820324,42.37318140365867,6.333333333333333,7.333333333333333,-958.029623427733,76.20607029167834,9.107477057285848,7.1337075474988465,1.9737695097870027,7.895078039148011,789.5078039148011,2853.4830189995387,3642.99082291434,0.8735072630932521,5,2.5
0.15_0.5,2500.0,116.26666666666667,0.0,58.93333333333334,0.0,66.80695392275506,66.84985087551628,66.90682773038596,65.94578552868175,0.5005547141117336,1.1671134777557128,1.8157064945936299,1.0276113775012385,6.01622054551278,1.7024090259917877,1.881268477473933,200.49374349095186,124.85999876221335,40.1454390185106,5.066666666666666,5.666666666666667,-809.8815359472637,142.75564582362588,76.80986029494412,55.93405911002005,20.87580118492407,83.50320473969629,8350.320473969628,22373.62364400802,30723.944117977644,-0.06680361520755713,15,0.5
